x,y,dataset
30,3932,train
31,4015,train
32,4108,train
33,4179,train
34,4265,train
35,4380,train
36,4432,train
37,4521,train
38,4603,train
39,4698,train
40,4775,train
41,4862,train
42,4958,train
43,5031,train
44,5110,train
45,5195,train
46,5288,train
47,5370,train
48,5442,train
49,5537,train
50,5610,train
51,5698,train
52,5785,train
53,5863,train
54,5952,train
55,6030,train
56,6121,train
57,6198,train
58,6285,train
59,6367,train
60,6450,train
61,6538,train
62,6625,train
63,6701,train
64,6792,train
65,6875,train
66,6958,train
67,7040,train
68,7132,train
69,7215,train
70,7300,train
71,7382,train
72,7465,train
73,7550,train
74,7638,train
75,7720,train
76,7805,train
77,7888,train
78,7970,train
79,8055,train
80,8142,train
81,8220,train
82,8305,train
83,8388,train
84,8470,train
85,8552,train
86,8635,train
87,8720,train
88,8805,train
89,8888,train
90,8970,train
91,9055,train
92,9138,train
93,9220,train
94,9305,train
95,9388,train
96,9470,train
97,9555,train
98,9638,train
99,9720,train
100,9805,train
101,9888,train
102,9970,train
103,10055,train
104,10138,train
105,10220,train
106,10305,train
107,10388,train
108,10470,train
109,10555,train
110,10638,train
111,10720,train
112,10805,train
113,10888,train
114,10970,train
115,11055,train
116,11138,train
117,11220,train
118,11305,train
119,11388,train
120,11470,train
35,4375,test
40,4780,test
45,5190,test
50,5615,test
55,6025,test
60,6445,test
65,6880,test
70,7295,test
75,7710,test
80,8130,test
85,8540,test
90,8965,test
95,9370,test
100,9790,test
105,10210,test
110,10630,test
115,11040,test
120,11460,test
125,11875,test
130,12290,test
