income,approved,dataset
3000,0,train
3200,0,train
3400,0,train
3600,0,train
3800,0,train
4000,0,train
4200,0,train
4400,1,train
4600,0,train
4800,1,train
5000,1,train
5200,0,train
5400,1,train
5600,1,train
5800,1,train
6000,1,train
6200,1,train
6400,1,train
6600,1,train
6800,1,train
7000,1,train
7200,1,train
7400,1,train
7600,1,train
7800,1,train
8000,1,train
8200,1,train
8400,1,train
8600,1,train
8800,1,train
9000,1,train
9200,1,train
9400,1,train
9600,1,train
9800,1,train
10000,1,train
10200,1,train
10400,1,train
10600,1,train
10800,1,train
11000,1,train
11200,1,train
11400,1,train
11600,1,train
11800,1,train
12000,1,train
12200,1,train
12400,1,train
12600,1,train
12800,1,train
13000,1,train
13200,1,train
13400,1,train
13600,1,train
13800,1,train
14000,1,train
14200,1,train
14400,1,train
14600,1,train
14800,1,train
15000,1,train
4000,0,test
6000,1,test
8000,1,test
10000,1,test
12000,1,test
14000,1,test
